iter	Passed	Remaining
405	949	1389
406	950	1385
407	952	1381
408	953	1377
409	954	1373
410	955	1369
411	956	1365
412	958	1361
413	959	1357
414	964	1359
415	965	1355
416	967	1352
417	968	1348
418	969	1344
419	970	1340
420	972	1336
421	973	1333
422	974	1329
423	979	1331
424	982	1328
425	984	1326
426	986	1323
427	987	1319
428	988	1315
429	989	1311
430	993	1311
431	994	1307
432	995	1304
433	997	1300
434	998	1297
435	1000	1294
436	1001	1290
437	1003	1287
438	1004	1283
439	1008	1283
440	1009	1280
441	1011	1276
442	1012	1272
443	1013	1269
444	1014	1265
445	1015	1261
446	1017	1258
447	1018	1254
448	1019	1251
449	1021	1248
450	1023	1246
451	1025	1242
452	1026	1239
453	1027	1235
454	1028	1232
455	1029	1228
456	1031	1225
457	1032	1221
458	1033	1218
459	1035	1215
460	1040	1216
461	1041	1212
462	1042	1209
463	1043	1205
464	1045	1202
465	1046	1198
466	1047	1195
467	1048	1192
468	1049	1188
469	1051	1185
470	1054	1183
471	1055	1180
472	1056	1177
473	1057	1173
474	1058	1170
475	1060	1166
476	1061	1163
477	1062	1160
478	1064	1157
479	1066	1155
480	1071	1155
481	1072	1152
482	1074	1149
483	1076	1147
484	1077	1143
485	1078	1140
486	1079	1137
487	1080	1134
488	1084	1133
489	1085	1130
490	1086	1126
491	1088	1123
492	1089	1120
493	1090	1117
494	1091	1113
495	1092	1110
496	1094	1107
497	1095	1104
498	1098	1103
499	1100	1100
500	1101	1097
501	1102	1094
502	1104	1090
503	1105	1087
504	1106	1084
505	1107	1081
506	1108	1078
507	1110	1075
508	1111	1071
509	1115	1071
510	1117	1069
511	1118	1066
512	1119	1063
513	1120	1059
514	1122	1056
515	1123	1053
516	1124	1050
517	1125	1047
518	1127	1044
519	1130	1043
520	1131	1040
521	1132	1037
522	1133	1033
523	1134	1030
524	1136	1027
525	1137	1024
526	1138	1021
527	1139	1018
528	1140	1015
529	1142	1012
530	1145	1011
531	1146	1008
532	1147	1005
533	1148	1002
534	1149	999
535	1151	996
536	1152	993
537	1153	990
538	1154	987
539	1156	984
540	1157	981
541	1160	980
542	1162	978
543	1163	975
544	1164	972
545	1165	969
546	1167	966
547	1168	963
548	1170	961
549	1171	958
550	1176	958
551	1178	956
552	1180	953
553	1181	951
554	1183	948
555	1184	945
556	1185	942
557	1186	940
558	1187	937
559	1191	936
560	1192	933
561	1193	930
562	1194	927
563	1196	924
564	1197	921
565	1198	919
566	1199	916
567	1200	913
568	1202	910
569	1204	908
570	1206	906
571	1207	903
572	1208	900
573	1210	898
574	1211	895
575	1212	892
576	1213	889
577	1214	887
578	1216	884
579	1217	881
580	1221	880
581	1222	877
582	1223	875
583	1224	872
584	1226	869
585	1227	866
586	1228	864
587	1229	861
588	1230	858
589	1232	856
590	1233	853
591	1236	851
592	1237	849
593	1238	846
594	1239	843
595	1241	841
596	1242	838
597	1243	835
598	1244	833
599	1245	830
600	1247	827
601	1248	825
602	1251	823
603	1252	821
604	1253	818
605	1255	816
606	1256	813
607	1257	810
608	1258	808
609	1259	805
610	1261	803
611	1263	801
612	1268	800
613	1269	798
614	1271	795
615	1274	794
616	1275	792
617	1277	789
618	1282	789
619	1284	787
620	1286	784
621	1287	782
622	1289	780
623	1290	777
624	1291	775
625	1292	772
626	1294	769
627	1297	768
628	1298	766
629	1300	763
630	1301	760
631	1302	758
632	1303	755
633	1304	753
634	1306	750
635	1307	748
636	1308	745
637	1310	743
638	1312	741
639	1313	739
640	1315	736
641	1316	733
642	1317	731
643	1318	728
644	1319	726
645	1321	723
646	1322	721
647	1323	719
648	1325	716
649	1327	714
650	1328	712
651	1329	709
652	1331	707
653	1332	704
654	1333	702
655	1334	699
656	1335	697
657	1337	695
658	1338	692
659	1342	691
660	1343	689
661	1345	686
662	1346	684
663	1347	681
664	1348	679
665	1350	677
666	1351	674
667	1352	672
668	1353	669
669	1356	668
670	1358	666
671	1359	663
672	1361	661
673	1362	659
674	1363	656
675	1365	654
676	1366	652
677	1368	649
678	1373	649
679	1375	647
680	1377	645
681	1379	643
682	1380	640
683	1382	638
684	1383	636
685	1387	635
686	1389	632
687	1390	630
688	1391	628
689	1392	625
690	1394	623
691	1395	621
692	1396	618
693	1397	616
694	1399	613
695	1403	612
696	1404	610
697	1405	608
698	1407	605
699	1408	603
700	1409	601
701	1410	598
702	1412	596
703	1413	594
704	1414	591
705	1419	590
706	1420	588
707	1421	586
708	1423	584
709	1424	581
710	1425	579
711	1426	577
712	1428	574
713	1429	572
714	1430	570
715	1434	568
716	1435	566
717	1436	564
718	1437	561
719	1439	559
720	1441	557
721	1442	555
722	1443	553
723	1445	550
724	1448	549
725	1450	547
726	1452	545
727	1455	543
728	1456	541
729	1458	539
730	1459	537
731	1461	535
732	1464	533
733	1466	531
734	1469	529
735	1472	528
736	1476	526
737	1478	524
738	1480	522
739	1482	520
740	1484	518
741	1488	517
742	1491	515
743	1493	514
744	1495	511
745	1496	509
746	1502	508
747	1505	507
748	1510	506
749	1519	506
750	1521	504
751	1523	502
752	1525	500
753	1526	498
754	1532	497
755	1534	495
756	1536	493
757	1537	490
758	1538	488
759	1540	486
760	1542	484
761	1545	482
762	1547	480
763	1549	478
764	1550	476
765	1552	474
766	1560	474
767	1562	472
768	1564	469
769	1566	467
770	1568	465
771	1574	464
772	1576	462
773	1578	460
774	1581	459
775	1583	457
776	1589	456
777	1592	454
778	1593	452
779	1595	449
780	1597	447
781	1599	445
782	1605	444
783	1606	442
784	1608	440
785	1611	438
786	1613	436
787	1623	436
788	1625	434
789	1626	432
790	1628	430
791	1633	429
792	1636	427
793	1639	425
794	1642	423
795	1647	422
796	1656	421
797	1658	419
798	1659	417
799	1661	415
800	1662	413
801	1664	410
802	1671	410
803	1673	408
804	1676	406
805	1679	404
806	1681	402
807	1690	401
808	1692	399
809	1694	397
810	1695	395
811	1702	394
812	1704	391
813	1707	390
814	1709	388
815	1711	385
816	1717	384
817	1718	382
818	1720	380
819	1721	377
820	1723	375
821	1726	373
822	1736	373
823	1738	371
824	1740	369
825	1745	367
826	1749	365
827	1750	363
828	1753	361
829	1755	359
830	1762	358
831	1765	356
832	1767	354
833	1769	352
834	1770	349
835	1776	348
836	1778	346
837	1780	344
838	1783	342
839	1785	340
840	1792	338
841	1794	336
842	1796	334
843	1797	332
844	1799	330
845	1801	327
846	1807	326
847	1809	324
848	1811	322
849	1814	320
850	1816	317
851	1817	315
852	1823	314
853	1826	312
854	1828	310
855	1836	308
856	1838	306
857	1840	304
858	1841	302
859	1843	300
860	1844	297
861	1850	296
862	1852	294
863	1854	291
864	1857	289
865	1859	287
866	1866	286
867	1867	284
868	1869	281
869	1870	279
870	1872	277
871	1873	275
872	1881	273
873	1885	271
874	1890	270
875	1899	268
876	1901	266
877	1902	264
878	1904	262
879	1910	260
880	1912	258
881	1914	256
882	1916	253
883	1919	251
884	1927	250
885	1931	248
886	1932	246
887	1934	243
888	1937	241
889	1939	239
890	1941	237
891	1944	235
892	1946	233
893	1948	230
894	1954	229
895	1956	227
896	1958	224
897	1961	222
898	1964	220
899	1969	218
900	1971	216
901	1973	214
902	1975	212
903	1976	209
904	1979	207
905	1985	205
906	1987	203
907	1989	201
908	1991	199
909	1994	197
910	2002	195
911	2004	193
912	2006	191
913	2008	189
914	2021	187
915	2031	186
916	2037	184
917	2046	182
918	2047	180
919	2049	178
920	2051	175
921	2053	173
922	2060	171
923	2063	169
924	2065	167
925	2067	165
926	2069	162
927	2073	160
928	2076	158
929	2079	156
930	2081	154
931	2083	152
932	2085	149
933	2091	147
934	2092	145
935	2097	143
936	2099	141
937	2105	139
938	2108	136
939	2109	134
940	2111	132
941	2112	130
942	2114	127
943	2123	125
944	2125	123
945	2128	121
946	2130	119
947	2135	117
948	2138	114
949	2140	112
950	2142	110
951	2144	108
952	2150	106
953	2152	103
954	2153	101
955	2156	99
956	2159	97
957	2165	94
958	2167	92
959	2169	90
960	2170	88
961	2173	85
962	2180	83
963	2182	81
964	2184	79
965	2186	76
966	2187	74
967	2189	72
968	2194	70
969	2197	67
970	2200	65
971	2202	63
972	2205	61
973	2210	59
974	2211	56
975	2214	54
976	2223	52
977	2225	50
978	2227	47
979	2229	45
980	2230	43
981	2232	40
982	2239	38
983	2240	36
984	2243	34
985	2246	31
986	2247	29
987	2252	27
988	2255	25
989	2259	22
990	2261	20
991	2262	18
992	2267	15
993	2270	13
994	2271	11
995	2273	9
996	2276	6
997	2278	4
998	2282	2
999	2283	0
